listing_class,cost,name,address,beds,baths,sqft,neighborhood,zipcode,property_link
3,"$2,475 ","Apartment for Rent, Chicago, IL",2333 W Rice St,2 Beds,1 ba,"1,300 sq ft",West Town,"2333 W Rice St Chicago, IL 60622",https://www.apartments.com/2333-w-rice-st-chicago-il-unit-3/cd897te/
3,"$5,500 ","Apartment for Rent, Chicago, IL",1445 W Fry St,4 Beds,3 ba,"2,300 sq ft",West Town,"1445 W Fry St Chicago, IL 60642",https://www.apartments.com/1445-w-fry-st-chicago-il-unit-1/3nrpv7d/
3,"$1,950 ","Condo for Rent, Chicago, IL",711 N Hoyne Ave,2 Beds,1 ba,"1,000 sq ft",West Town,"711 N Hoyne Ave Chicago, IL 60612",https://www.apartments.com/711-n-hoyne-ave-chicago-il-unit-1n/6gt6vvs/
3,"$2,100 ","Condo for Rent, Chicago, IL",616 N Paulina St,2 Beds,1.5 ba,"1,200 sq ft",West Town,"616 N Paulina St Chicago, IL 60622",https://www.apartments.com/616-n-paulina-st-chicago-il-unit-1/8w6lqn3/
3,"$1,950 ","1364 W Ohio St Unit 3R, Chicago, IL",1364 W Ohio St,1 Bed,1 ba,,West Town,"1364 W Ohio St Chicago, IL 60642",https://www.apartments.com/1364-w-ohio-st-chicago-il-unit-3r/hmfsrg1/
3,"$3,400 ","Condo for Rent, Chicago, IL",1947 W Chicago Ave,3 Beds,2 ba,,West Town,"1947 W Chicago Ave Chicago, IL 60622",https://www.apartments.com/1947-w-chicago-ave-chicago-il-unit-pent-house/6cnkhzr/
3,"$5,500 ","Condo for Rent, Chicago, IL",650 N Morgan St,3 Beds,2 ba,,West Town,"650 N Morgan St Chicago, IL 60642",https://www.apartments.com/650-n-morgan-st-chicago-il-unit-601/bx08y89/
3,"$3,200 ","Condo for Rent, Chicago, IL",1651 W Chicago Ave,2 Beds,2 ba,"1,500 sq ft",West Town,"1651 W Chicago Ave Chicago, IL 60622",https://www.apartments.com/1651-w-chicago-ave-chicago-il-unit-3w/88xzhr3/
3,"$2,400 ","Apartment for Rent, Chicago, IL",819 N Wood St,3 Beds,2 ba,"1,200 sq ft",West Town,"819 N Wood St Chicago, IL 60622",https://www.apartments.com/819-n-wood-st-chicago-il-unit-2/zk1xh7z/
3,"$3,200 /mo","House for Rent, Chicago, IL",1651 W Chicago Ave,"2 Beds, 2 Baths",2 ba,,West Town,"1651 W Chicago Ave Chicago, IL 60622",https://www.apartments.com/1651-w-chicago-ave-chicago-il/b9e1dbc/
